Date,City,Venue,Bands,Notes
2006-07-14,"Boise, ID",Treasure Valley Speedway,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-07-15,"Seattle, WA",Gorge Amphitheatre,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-07-16,"Portland, OR",Columbia Meadows,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-07-18,"Vancouver, BC",Thunderbird Stadium,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-07-20,"Calgary, AB",Race City Speedway,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-07-22,"Salt Lake City, UT",Utah State Fairgrounds,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-07-23,"Denver, CO",Invesco Field,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-07-25,"St. Louis, MO",UMB Bank Pavillion,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-07-26,"Cincinnati, OH",Riverbend Music Center,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-07-27,"Pittsburgh, PA",Post Gazette Pavillion,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen, Underoath + more",Vans Warped Tour

2006-07-29,"Detroit, MI",Comerica Park,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen + more",Vans Warped Tour

2006-07-30,"Chicago, IL",First Midwest Bank Amphitheatre,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen + more",Vans Warped Tour

2006-08-01,"Buffalo, NY",Darien Lake,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen + more",Vans Warped Tour

2006-08-02,"Fitchburg, MA",Fitchburg Airport,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen + more",Vans Warped Tour

2006-08-03,"Camden, NJ",Tweeter Center,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen + more",Vans Warped Tour

2006-08-04,"Scranton, PA",Toyota Pavillion,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen + more",Vans Warped Tour

2006-08-05,"New York, NY",Nassau Coliseum,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen + more",Vans Warped Tour

2006-08-12,"Barrie, ON",Molson Park,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen + more",Vans Warped Tour

2006-08-13,"Montreal, QC",Parc Jean Drapeau,"Nofx, Against Me!, Rise Against, Thursday, Motion City Soundtrack, Every Time I Die, Armor For Sleep, Anti Flag, Saves The Day, Senses Fail, The Bouncing Souls, Less Than Jake, Paramore, Billy Talent, Alexisonfire, Protest The Hero, Moneen + more",Vans Warped Tour

2006-08-19,"Birch Run, MI",Expo Center,"Every Time I Die, Mae, The Black Dahlia Murder, Halifax + more",Dirt Fest

2006-09-05,"Waterloo, ON",Laurier University,"Moneen, The Reason",

2006-09-06,"Kingston, ON",Time To Laugh,"The Stickup, Everlea",

2006-09-08,"Timmins, ON",Northern College,Moneen,

2006-09-09,"Grand Rapids, MI",The Intersection,Moneen,

2006-09-10,"Des Moines, IA",House of Bricks,Moneen,

2006-09-13,"Spokane, WA",The Big Easy,Moneen,

2006-09-14,"Vancouver, BC",Croatian Cultural Centre,"Underoath, Moneen, He Is Legend",

2006-09-16,"Edmonton, AB",Red's,"Underoath, Moneen, He Is Legend",

2006-09-17,"Calgary, AB",MacEwan Hall,"Underoath, Moneen, He Is Legend",

2006-09-18,"Saskatoon, SK",Prairieland Exhibition Trade Centre,"Underoath, Moneen, He Is Legend",

2006-09-19,"Winnipeg, MB",Garrick Theatre,"Underoath, Moneen, He Is Legend",

2006-09-21,"North Bay, ON",The Wall,"Underoath, Moneen, He Is Legend",

2006-09-22,"Sudbury, ON",On The Rocks,"Underoath, Moneen, He Is Legend",

2006-09-23,"Toronto, ON",Koolhaus,"Underoath, Moneen",

2006-09-25,"London, ON",Centennial Hall,"Underoath, Moneen",

2006-09-26,"Ottawa, ON",Civic Centre Arena,"Underoath, Moneen",

2006-09-27,"Montreal, QC",Metropolis,"Underoath, Moneen",

2006-09-28,"Quebec, QC",Theatre L'Imperial,"Underoath, Moneen",

2006-10-06,"Burlington, ON",YMCA,"The Stickup, The Turn It Ups, Cain and Abel, Bury Her Breathing, Japaned",BroFest Cancer Benefit

2006-10-13,"Milwaukee, WI",The Rave,"Aiden, It Dies Today, The Stickup, The Devil Wears Prada",

2006-10-14,"Minneapolis, MN",Quest,"Aiden, It Dies Today, The Stickup, The Devil Wears Prada",

2006-10-15,"Chicago, IL",House of Blues,"Aiden, It Dies Today, The Stickup, The Devil Wears Prada",

2006-10-17,"Pittsburgh, PA",Mr. Small's,"Aiden, It Dies Today, The Stickup, Kill Hannah",

2006-10-18,"Buffalo, NY",Town Ballroom,"Aiden, It Dies Today, The Stickup, Kill Hannah",

2006-10-19,"Cleveland, OH",House of Blues,"Aiden, It Dies Today, The Stickup, The Devil Wears Prada",

2006-10-20,"Columbus, OH",Newport Music Hall,"Aiden, It Dies Today, The Stickup, Kill Hannah",

2006-10-21,"Cincinnati, OH",Bogart’s,"Aiden, It Dies Today, The Stickup, Kill Hannah",

2006-10-22,"Toronto, ON",The Mod Club,Sociallight,102.1 The Edge Radio Event

2006-10-23,"Sauget, IL",Pop's,"Aiden, It Dies Today, The Stickup, Kill Hannah",

2006-10-24,"Lawrence, KS",Granada Theatre,"Aiden, It Dies Today, The Stickup, Kill Hannah",

2006-10-25,"Boulder, CO",Boulder Theatre,"Aiden, It Dies Today, The Stickup, Kill Hannah",

2006-10-27,"Salt Lake City, UT",Avalon Theatre,"Aiden, It Dies Today, The Stickup, Scary Kids Scaring Kids",

2006-10-28,"Boise, ID",The Big Easy,"Aiden, It Dies Today, The Stickup, Scary Kids Scaring Kids",

2006-10-29,"Portland, OR",Roseland Theatre,"Aiden, It Dies Today, The Stickup, Scary Kids Scaring Kids",

2006-10-30,"Seattle, WA",Showbox Theatre,"Aiden, It Dies Today, The Stickup, Scary Kids Scaring Kids",

2006-11-01,"San Francisco, CA",The Fillmore,"Aiden, It Dies Today, Scary Kids Scaring Kids, The Blackout Pact",

2006-11-02,"Anaheim, CA",House of Blues,"Aiden, It Dies Today, Scary Kids Scaring Kids, The Blackout Pact",

2006-11-03,"Pomona, CA",Glasshouse,"Aiden, It Dies Today, Scary Kids Scaring Kids, The Blackout Pact",

2006-11-04,"San Diego, CA",SOMA,"Aiden, It Dies Today, Scary Kids Scaring Kids, The Blackout Pact",

2006-11-05,"Las Vegas, NV",House of Blues,"Aiden, It Dies Today, Scary Kids Scaring Kids, The Blackout Pact",

2006-11-06,"Los Angeles, CA",House of Blues,"Aiden, It Dies Today, Scary Kids Scaring Kids",

2006-11-07,"Phoenix, AZ",Marquee Theatre,"Aiden, It Dies Today, Scary Kids Scaring Kids",

2006-11-08,"Albuquerque, NM",Sunshine Theatre,"Aiden, It Dies Today",

2006-11-10,"Dallas, TX",Gypsy Tea Room,"Aiden, It Dies Today",

2006-11-11,"San Antonio, TX",The White Rabbit,"Aiden, It Dies Today",

2006-11-12,"Houston, TX",Meridian,"Aiden, It Dies Today",

2006-11-14,"Orlando, FL",Firestone,"Aiden, It Dies Today, He Is Legend",

2006-11-15,"Atlanta, GA",The Masquerade,"Aiden, It Dies Today, He Is Legend",

2006-11-16,"Charlotte, NC",Tremont Music Hall,"Aiden, It Dies Today, He Is Legend",

2006-11-17,"Norfolk, VA",The Norva,"Aiden, It Dies Today, He Is Legend, I Killed The Prom Queen",

2006-11-18,"Washington, DC",9:30 Club,"Aiden, It Dies Today, He Is Legend, I Killed The Prom Queen",

2006-11-19,"New York, NY",Irving Plaza,"Aiden, It Dies Today, He Is Legend, I Killed The Prom Queen",

2006-11-20,"Farmingdale, NY",The Crazy Donkey,"Aiden, It Dies Today, He Is Legend, I Killed The Prom Queen, The Sleeping",

2006-11-21,"Philadelphia, PA",Trocadero Theatre,"Aiden, It Dies Today, He Is Legend, I Killed The Prom Queen",

2006-11-22,"Sayerville, NJ",Starland Ballroom,"Aiden, It Dies Today, He Is Legend, I Killed The Prom Queen",

2006-11-24,"Worcester, MA",The Palladium,"Aiden, It Dies Today, He Is Legend, I Killed The Prom Queen",

2006-11-25,"Clifton Park, NY",Northern Lights,"Aiden, It Dies Today, He Is Legend, I Killed The Prom Queen",

2006-11-26,"St. Catharines, ON",L3,"A Wilhelm Scream, The Sleeping, I Am The Avalanche, I Killed The Prom Queen",

2006-11-28,"Barrie, ON",Foundation,"A Wilhelm Scream, The Sleeping, I Am The Avalanche, I Killed The Prom Queen",

2006-11-29,"London, ON",Salt Lounge,"A Wilhelm Scream, The Sleeping, I Am The Avalanche, I Killed The Prom Queen",

2006-11-30,"Ottawa, ON",Capitol Music Hall,"A Wilhelm Scream, The Sleeping, I Am The Avalanche, I Killed The Prom Queen",

2006-12-01,"Montreal, QC",Le National,"A Wilhelm Scream, The Sleeping, I Am The Avalanche, I Killed The Prom Queen",

2006-12-02,"Toronto, ON",The Phoenix,"A Wilhelm Scream, The Sleeping, I Am The Avalanche, I Killed The Prom Queen",

2006-12-03,"Sarnia, ON",Industry Theatre,"A Wilhelm Scream, The Sleeping, I Am The Avalanche, I Killed The Prom Queen",

2007-02-16,"Toronto, ON",El Mocambo,"The Wooden Sky, Sights & Sounds, The Artist Life",Skate4Cancer Event

2007-04-19,"Boca Raton, FL",Florida Atlantic University,,

2007-05-02,"Burlington, ON",Red Rooster,,

2007-05-05,"East Rutheford, NJ",Meadowlands,"My Chemical Romance, New Found Glory, Say Anything, Bayside, Paramore, Saves The Day, Muse, Motion City Soundtrack, Manchester Orchestra, Moneen + more",Bamboozle Festival - Main Stage

2007-05-06,"East Rutheford, NJ",Meadowlands,"Brand New, Linkin Park, Taking Back Sunday, Thrice, Armor For Sleep, From First To Last, All Time Low, The Devil Wears Prada + more",Bamboozle Festival - Riot Squad Stage Secret Show as xCANUCKx

2007-05-11,"Mexico City, Mexico",Circo Volador,Greeley Estates,

2007-05-12,"Monterrey, Mexico",Cafe Iguana,Greeley Estates,

2007-05-25,"London, England",Barfly,"Enjoy Destroy, Tonight Is Goodbye",

2007-05-26,"Pontypridd, Wales",Ynysangharad Park,"Lostprophets, Reel Big Fish, The Blackout, Paramore, Kids In Glass Houses, Dopamine, Gallows + more",

2007-05-27,"Utrecht, Netherlands",Helling,The Maple Room,

2007-05-28,"Schaffenn, Belgium",JC Smurf,"Campus, Pretty Girls Don't Sleep In Coffins, The Maple Room",

2007-05-29,"Hanau, Germany",Halle 2,Today Forever,

2007-05-31,"Berlin, Germany",Magnet,"Today Forever, Callejon",

2007-06-01,"Nurburgring, Germany",Nurburgring,"Linkin Park, The White Stripes, Muse, Billy Talent, The Hives, Arctic Monkeys, My Chemical Romance, The Used, Enter Shikari, Gogol Bordello, Funeral For A Friend + more",Rock Am Ring Festival

2007-06-02,"Nuremberg, Germany",Zeppelinfeld,"Linkin Park, The White Stripes, Muse, Billy Talent, The Hives, Arctic Monkeys, My Chemical Romance, The Used, Enter Shikari, Gogol Bordello, Funeral For A Friend + more",Rock Im Park Festival

2007-06-03,"Chemrulz, Germany",AJZ Talschock,"Today Forever, Callejon",

2007-06-04,"Karlsrhue, Germany",Die Stadtmitte,"Today Forever, Parachutes",

2007-06-05,"Munster, Germany",Triptychion,Today Forever,

2007-06-07,"Bridgewater, England",Palace,"Enjoy Destroy, Tonight Is Goodbye",

2007-06-09,"Donnington, England",Donnington Park,"Linkin Park, Marilyn Manson, Slayer, 30 Seconds To Mars, Aiden, Motley Cru, Biffy Clyro, Gallows, As I Lay Dying, Bring Me The Horizon, Head Automatica + more",Download Festival - Tuborg Stage

2007-06-15,"Dallas, TX",Palladium Ballroom,"Rise Against, Comeback Kid, Only Crime",

2007-06-16,"Austin, TX",Stubb's BBQ,"Rise Against, Comeback Kid, Only Crime",

2007-06-18,"St. Petersburg, FL",Jannus Landing,"Rise Against, Comeback Kid, Only Crime",

2007-06-19,"Orlando, FL",House of Blues,"Rise Against, Comeback Kid, Only Crime",

2007-06-20,"Atlanta, GA",The Masquerade,"Rise Against, Comeback Kid, Only Crime",

2007-06-22,"Myrtle Beach, SC",House of Blues,"Rise Against, Comeback Kid, Only Crime",

2007-06-23,"Charlotte, NC",Tremont Music Hall,"Rise Against, Comeback Kid, Only Crime",

2007-06-24,"Norfolk, VA",The Norva,"Rise Against, Comeback Kid, Only Crime",

2007-06-25,"Philadelphia, PA",Electric Factory,"Rise Against, Comeback Kid, Only Crime",

2007-06-27,"New York, NY",Nokia Theatre,"Rise Against, Comeback Kid, Only Crime",

2007-06-28,"Hartford, CT",Webster Theatre,"Rise Against, Comeback Kid, Only Crime",

2007-06-29,"Sayerville, NJ",Starland Ballroom,"Rise Against, Comeback Kid, Only Crime",

2007-07-02,"Halifax, NS",Cunard Centre,"Rise Against, Comeback Kid, 2 Cents",

2007-07-04,"Quebec, QC",Centre du Foire,"Rise Against, Comeback Kid, 2 Cents",

2007-07-05,"Montreal, QC",Theatre Olympia,"Rise Against, Comeback Kid, 2 Cents",

2007-07-06,"Montreal, QC",Theatre Olympia,"Rise Against, Comeback Kid, 2 Cents",

2007-07-07,"Toronto, ON",Arrow Hall,"Rise Against, Comeback Kid, 2 Cents",

2007-07-09,"Buffalo, NY",Evolution,"Rise Against, Comeback Kid, 2 Cents",

2007-07-10,"Pittsburgh, PA",Club Zoo,"Rise Against, Comeback Kid, 2 Cents",

2007-07-11,"Cincinnati, OH",Bogart’s,"Rise Against, Comeback Kid, 2 Cents",

2007-07-13,"Green Bay, WI",Riverside Ballroom,"Rise Against, Comeback Kid, 2 Cents",

2007-07-14,"St. Paul, MN",Myth,"Rise Against, Comeback Kid, 2 Cents",

2007-07-16,"Winnipeg, MB",Winnipeg Convention Centre,"Rise Against, Comeback Kid, Holy Roman Empire",

2007-07-17,"Saskatoon, SK",Prairieland Exhibition Trade Centre,"Rise Against, Comeback Kid, Holy Roman Empire",

2007-07-18,"Edmonton, AB",Shaw Events Center,"Rise Against, Comeback Kid, Holy Roman Empire",

2007-07-19,"Calgary, AB",MacEwan Hall,"Rise Against, Comeback Kid, Holy Roman Empire",

2007-07-20,"Calgary, AB",MacEwan Hall,"Rise Against, Comeback Kid, Holy Roman Empire",

2007-07-22,"Victoria, BC",Victoria Curling Club,"Rise Against, Comeback Kid, Holy Roman Empire",

2007-07-23,"Seattle, WA",Fenix Underground,"Rise Against, Comeback Kid, Holy Roman Empire",

2007-07-24,"Portland, OR",Roseland Theatre,"Rise Against, Comeback Kid, Holy Roman Empire",

2007-07-26,"Boise, ID",The Big Easy,"Rise Against, Comeback Kid, Holy Roman Empire",

2007-07-27,"Reno, NV",Stoney's,"Rise Against, Comeback Kid, Holy Roman Empire",

2007-07-28,"San Francisco, CA",Warfield Theatre,"Rise Against, Comeback Kid, Holy Roman Empire",

2007-07-29,"Sacramento, CA",Empire,"Rise Against, Comeback Kid, Holy Roman Empire",

2007-08-16,"Baltimore, MD",Rams Head Live,"Rise Against, Comeback Kid, Smoke or Fire",

2007-08-17,"Boston, MA",Avalon,"Rise Against, Comeback Kid, Smoke or Fire",

2007-08-18,"Providence, RI",Lupo's Heartbreak Hotel,"Rise Against, Comeback Kid, Smoke or Fire",

2007-08-19,"Clifton Park, NY",Northern Lights,"Rise Against, Comeback Kid, Smoke or Fire",

2007-08-20,"West Babylon, NY",Looney Tunes Records,,In Store Acoustic Performance 

2007-08-21,"Allentown, PA",Crocodile Rock,"Rise Against, Comeback Kid, Smoke or Fire",

2007-08-22,"Cleveland, OH",House of Blues,"Rise Against, Comeback Kid, Smoke or Fire",

2007-08-23,"Detroit, MI",State Theatre,"Rise Against, Comeback Kid, Smoke or Fire",

2007-08-24,"Milwaukee, WI",The Rave,"Comeback Kid, Alesana, As Cities Burn",

2007-08-25,"Louisville, KY",Headliners,"Comeback Kid, Reading Like A Writer",

2007-08-27,"Grand Rapids, MI",Orbit Room,"Rise Against, Comeback Kid, Smoke or Fire",

2007-08-28,"Sauget, IL",Pop's,"Rise Against, Comeback Kid, Smoke or Fire",

2007-08-29,"Kansas City, MO",Beaumont Club,"Rise Against, Comeback Kid, Smoke or Fire",

2007-08-30,"Omaha, NE",Sokol Auditorium,"Rise Against, Comeback Kid, Smoke or Fire",

2007-08-31,"Columbia, MD",The Blue Note,"Poison The Well, Alesana, As Cities Burn",

2007-09-01,"Joplin, MO",The Foundry,"Poison The Well, Alesana, As Cities Burn, Cancer Bats",

2007-09-02,"Memphis, TN",Skatepark,"Poison The Well, Alesana, As Cities Burn, Mayday Parade",
